Title,Author,Rating,Comment,Quote
,江南,8.8,(32735人评价),乱世的英雄史诗
,[日] 芥川龙之介,8.7,(74445人评价),人生，远比地狱更像地狱
,[英] 劳伦斯·里斯,9.5,(11315人评价),
,[古希腊] 柏拉图,9.3,(13217人评价),
,[美] 欧文·斯通,9.1,(12234人评价),梵高悲惨而成就辉煌的人生
,[美] 特德·姜,8.8,(38968人评价),特德·姜科幻小说集
,龙应台,8.7,(35797人评价),中国人，你为什么不生气
,[白俄] S. A. 阿列克谢耶维奇,8.9,(27702人评价),用最为细小的马赛克拼出了一幅完整的后苏联时代图景
,[意] 伊塔洛·卡尔维诺,8.8,(32480人评价),
,[英] 道格拉斯·亚当斯,8.8,(23606人评价),一场穿越银河的冒险
,刘胜利,9.1,(25873人评价),仁远乎哉？我欲仁，斯仁至矣
,[日] 伊藤诗织,8.9,(25750人评价),
,八月长安,8.7,(51319人评价),原作名切题
,马伯庸,8.7,(53701人评价),
,张爱玲,8.6,(66287人评价),一个小商人家庭出身的女子曹七巧的心灵变迁历程
,[奥] 斯蒂芬·茨威格,9.1,(13979人评价),纳粹法西斯对人心灵的折磨及摧残
,[意] 卡洛·罗韦利,8.9,(24092人评价),
,[英] 莎士比亚,8.7,(53121人评价),生存还是毁灭，这是一个值得思考的问题
,[法] 米歇尔·福柯,9.3,(11997人评价),
,[英]凯特·柯克帕特里克,9.0,(19732人评价),
,[美] 安迪·威尔,8.9,(21789人评价),
,[美] 贾雷德·戴蒙德,8.7,(55130人评价),
,[英] 斯蒂芬·韦斯塔比,9.1,(13994人评价),
,[日] 东野圭吾,8.5,(775127人评价),
,[英] 威廉·萨默塞特·毛姆,9.1,(13334人评价),
,顾城,8.8,(27605人评价),
,蔡崇达,8.9,(35300人评价),
,[美] 路易斯·贾内梯,8.9,(19025人评价),
